file_name,PDF_Component_Names,PDF_Topics
A92619-10 10 ESA Sections 1 to 4 - A6F4Q3,"Table of Content, Part 1: Introduction, Part 2: Project Description, Part 3: Consultation and Engagement, Part 4: Environmental and Socio-Economic Effects Assessment Methods",Human
A92619-10 10 ESA Sections 1 to 4 - A6F4Q3,"Table of Content, Part 1: Introduction, Part 2: Project Description, Part 3: Consultation and Engagement, Part 4: Environmental and Socio-Economic Effects Assessment Methods",Traditional Knowledge
A92619-11 11 ESA Sections 5 to 8 - A6F4Q4,"Table of Content, Part 5: Physical and Meteorological Environment, Part 6: Soil and Soil Productivity, Part 7: Vegetation, Part 8: Water Quality and Quantity",Land
A92619-11 11 ESA Sections 5 to 8 - A6F4Q4,"Table of Content, Part 5: Physical and Meteorological Environment, Part 6: Soil and Soil Productivity, Part 7: Vegetation, Part 8: Water Quality and Quantity",Air
A92619-11 11 ESA Sections 5 to 8 - A6F4Q4,"Table of Content, Part 5: Physical and Meteorological Environment, Part 6: Soil and Soil Productivity, Part 7: Vegetation, Part 8: Water Quality and Quantity",Water
A92619-11 11 ESA Sections 5 to 8 - A6F4Q4,"Table of Content, Part 5: Physical and Meteorological Environment, Part 6: Soil and Soil Productivity, Part 7: Vegetation, Part 8: Water Quality and Quantity",Vegetation
A92619-12 12 ESA Sections 9 to 10 - A6F4Q5,"Table of Content, Part 9: Fish and Fish Habitat, Part 10: Wetlands",Land
A92619-12 12 ESA Sections 9 to 10 - A6F4Q5,"Table of Content, Part 9: Fish and Fish Habitat, Part 10: Wetlands",Water
A92619-12 12 ESA Sections 9 to 10 - A6F4Q5,"Table of Content, Part 9: Fish and Fish Habitat, Part 10: Wetlands",Wildlife
A92619-12 12 ESA Sections 9 to 10 - A6F4Q5,"Table of Content, Part 9: Fish and Fish Habitat, Part 10: Wetlands",Vegetation
A92619-13 13 ESA Section 11 - A6F4Q6,"Table of Content, Part 11: Wildlife and Wildlife Habitat",Wildlife
A92619-14 14 ESA Sections 12 to 16 - A6F4Q7,"Table of Content, Part 12: Species at Risk, Part 13: Air Emissions, Part 14: Greenhouse Gas Emissions, Part 15: Acoustic Environment, Part 16: Human Occupancy and Resource Use",Air
A92619-14 14 ESA Sections 12 to 16 - A6F4Q7,"Table of Content, Part 12: Species at Risk, Part 13: Air Emissions, Part 14: Greenhouse Gas Emissions, Part 15: Acoustic Environment, Part 16: Human Occupancy and Resource Use",Wildlife
A92619-14 14 ESA Sections 12 to 16 - A6F4Q7,"Table of Content, Part 12: Species at Risk, Part 13: Air Emissions, Part 14: Greenhouse Gas Emissions, Part 15: Acoustic Environment, Part 16: Human Occupancy and Resource Use",Human
A92619-15 15 ESA Sections 17 to 26 - A6F4Q8,"Table of Content, Part 17: Heritage Resources, Part 18: Navigation and Navigation Safety, Part 19: Traditional Land and Resource Use, Part 20: Socio-Economic Elements, Part 21: Accidents and Malfunctions, Part 22: Effects of the Environment on the Project, Part 23: Summary of Environmental and Socio-Economic Assessment, Part 24: Environmental Compliance, Part 25: Post-Construction Monitoring, Part 26: Conclusion",Land
A92619-15 15 ESA Sections 17 to 26 - A6F4Q8,"Table of Content, Part 17: Heritage Resources, Part 18: Navigation and Navigation Safety, Part 19: Traditional Land and Resource Use, Part 20: Socio-Economic Elements, Part 21: Accidents and Malfunctions, Part 22: Effects of the Environment on the Project, Part 23: Summary of Environmental and Socio-Economic Assessment, Part 24: Environmental Compliance, Part 25: Post-Construction Monitoring, Part 26: Conclusion",Water
A92619-15 15 ESA Sections 17 to 26 - A6F4Q8,"Table of Content, Part 17: Heritage Resources, Part 18: Navigation and Navigation Safety, Part 19: Traditional Land and Resource Use, Part 20: Socio-Economic Elements, Part 21: Accidents and Malfunctions, Part 22: Effects of the Environment on the Project, Part 23: Summary of Environmental and Socio-Economic Assessment, Part 24: Environmental Compliance, Part 25: Post-Construction Monitoring, Part 26: Conclusion",Human
A92619-15 15 ESA Sections 17 to 26 - A6F4Q8,"Table of Content, Part 17: Heritage Resources, Part 18: Navigation and Navigation Safety, Part 19: Traditional Land and Resource Use, Part 20: Socio-Economic Elements, Part 21: Accidents and Malfunctions, Part 22: Effects of the Environment on the Project, Part 23: Summary of Environmental and Socio-Economic Assessment, Part 24: Environmental Compliance, Part 25: Post-Construction Monitoring, Part 26: Conclusion",Traditional Knowledge
A92619-16 16 ESA Appendix A EPP - A6F4Q9,Appendix A: Environmental Protection Plan,other
A92619-17 17 ESA Appendix B EAS-Part A - A6F4R0,Appendix B: Environmental Alignment Sheet Package,Alignment Sheet
A92619-18 18 ESA Appendix B EAS-Part B - A6F4R1,Appendix B: Environmental Alignment Sheet Package,Alignment Sheet
A92619-19 19 ESA Appendices C to K - A6F4R2,"Appendix C: Soil and Soil Productivity, Water Quality and Quantity, Fish and Fish Habitat, Wildlife and Wildlife Habitat, Air Emissions, Acoustic Environment, Preliminary Caribou Habitat Restoration and Offset Measures Plan, Preliminary Decommissioning and Abandonment Plan, Traditional Knowledge (TK) Report",Land
A92619-19 19 ESA Appendices C to K - A6F4R2,"Appendix C: Soil and Soil Productivity, Water Quality and Quantity, Fish and Fish Habitat, Wildlife and Wildlife Habitat, Air Emissions, Acoustic Environment, Preliminary Caribou Habitat Restoration and Offset Measures Plan, Preliminary Decommissioning and Abandonment Plan, Traditional Knowledge (TK) Report",Air
A92619-19 19 ESA Appendices C to K - A6F4R2,"Appendix C: Soil and Soil Productivity, Water Quality and Quantity, Fish and Fish Habitat, Wildlife and Wildlife Habitat, Air Emissions, Acoustic Environment, Preliminary Caribou Habitat Restoration and Offset Measures Plan, Preliminary Decommissioning and Abandonment Plan, Traditional Knowledge (TK) Report",Water
A92619-19 19 ESA Appendices C to K - A6F4R2,"Appendix C: Soil and Soil Productivity, Water Quality and Quantity, Fish and Fish Habitat, Wildlife and Wildlife Habitat, Air Emissions, Acoustic Environment, Preliminary Caribou Habitat Restoration and Offset Measures Plan, Preliminary Decommissioning and Abandonment Plan, Traditional Knowledge (TK) Report",Wildlife
A92619-19 19 ESA Appendices C to K - A6F4R2,"Appendix C: Soil and Soil Productivity, Water Quality and Quantity, Fish and Fish Habitat, Wildlife and Wildlife Habitat, Air Emissions, Acoustic Environment, Preliminary Caribou Habitat Restoration and Offset Measures Plan, Preliminary Decommissioning and Abandonment Plan, Traditional Knowledge (TK) Report",Vegetation
A92619-19 19 ESA Appendices C to K - A6F4R2,"Appendix C: Soil and Soil Productivity, Water Quality and Quantity, Fish and Fish Habitat, Wildlife and Wildlife Habitat, Air Emissions, Acoustic Environment, Preliminary Caribou Habitat Restoration and Offset Measures Plan, Preliminary Decommissioning and Abandonment Plan, Traditional Knowledge (TK) Report",Human
A92619-19 19 ESA Appendices C to K - A6F4R2,"Appendix C: Soil and Soil Productivity, Water Quality and Quantity, Fish and Fish Habitat, Wildlife and Wildlife Habitat, Air Emissions, Acoustic Environment, Preliminary Caribou Habitat Restoration and Offset Measures Plan, Preliminary Decommissioning and Abandonment Plan, Traditional Knowledge (TK) Report",Traditional Knowledge
B2-1 - Volume II - Environmental and Socio-Economic Assessment Executive Summary and Table of Contents - A1X1U5,Executive Summary and Table of Contents,other
B2-2  - ESA Section 1-4 Part 1 - A1X1U6,Section 1:  Introduction,other
B2-3  - ESA Section 1-4 Part 2 - A1X1U7,"Section 1:  Introduction, Section 2:  Project Description, Section 3:  Consultation in Relation to the ESA, Section 4:  Routing and Siting",other
B2-4 - ESA Section 5 Baseline Part 1 - A1X1U8,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-4 - ESA Section 5 Baseline Part 1 - A1X1U8,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-5 - ESA Section 5 Baseline Part 2 - A1X1U9,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-5 - ESA Section 5 Baseline Part 2 - A1X1U9,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-6 - ESA Section 5 Baseline Part 3 - A1X1V0,Section 5: Current and Biophysical and Socio-Economic Setting,Wildlife
B2-6 - ESA Section 5 Baseline Part 3 - A1X1V0,Section 5: Current and Biophysical and Socio-Economic Setting,Human
B2-7 - ESA Section 5 Baseline Part 4 - A1X1V1,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-7 - ESA Section 5 Baseline Part 4 - A1X1V1,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-8 - ESA Section 5 Baseline Part 5 - A1X1V2,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-8 - ESA Section 5 Baseline Part 5 - A1X1V2,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-9 - ESA Section 5 Baseline Part 6 - A1X1V3,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-9 - ESA Section 5 Baseline Part 6 - A1X1V3,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-10 - ESA Section 5 Baseline Part 7 - A1X1V4,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-10 - ESA Section 5 Baseline Part 7 - A1X1V4,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-11 - ESA Section 5 Baseline Part 8 - A1X1V5,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-11 - ESA Section 5 Baseline Part 8 - A1X1V5,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-12 - ESA Section 5 Baseline Part 9 - A1X1V6,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-12 - ESA Section 5 Baseline Part 9 - A1X1V6,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-13 - ESA Section 5 Baseline Part 10 - A1X1V7,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-13 - ESA Section 5 Baseline Part 10 - A1X1V7,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-14 - ESA Section 5 Baseline Part 11 - A1X1V8,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-14 - ESA Section 5 Baseline Part 11 - A1X1V8,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-15 - ESA Section 5 Baseline Part 12 - A1X1V9,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-15 - ESA Section 5 Baseline Part 12 - A1X1V9,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
B2-16 - ESA Section 5 Baseline Part 13 - A1X1W0,Section 5:  Current and Biophysical and Socio-Economic Setting,Wildlife
B2-16 - ESA Section 5 Baseline Part 13 - A1X1W0,Section 5:  Current and Biophysical and Socio-Economic Setting,Human
 B2-17 - ESA Section 6 Effects - A1X1W1,Section 6:  Environmental and Socio-Economic Effects Assessmnet,Human
B2-18 - ESA Section 7 Cumulative Effects Assessment - A1X1W2,Section 7:  Environmental and Socio-Economic Cumulative Effects Assessment,Human
B2-19 - ESA Section 8 Inspection Monitoring and Follow_Up - A1X1W3,Section 8:  Inspection Monitoring and Follow Up,other
B2-20 - ESA Section 9 Conclusions - A1X1W4,Section 9:  Nonclusions,other
B3-1 - Appendix A to ESA Contiguous vs Noncontiguous Portions of Bakken Pipeline ROW - A1X1W8,Appendix A: Contiguous versus Non- Contiguous Portions of the Bakken Pipeline Right‐of‐Way,other
B3-2 - Appendix B Product Releases within 1 km of Bakken Pipeline Saskatchewan - A1X1W9,Appendix B: Product Releases within 1 km of the Pipeline Route in Saskatchewan,other
B3-3 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C1-5 Part 1 - A1X1X0,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-3 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C1-5 Part 1 - A1X1X0,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-3 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C1-5 Part 1 - A1X1X0,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-4 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C6-12 Part 2 - A1X1X1,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-4 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C6-12 Part 2 - A1X1X1,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-4 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C6-12 Part 2 - A1X1X1,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-5 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C12-19 Part 3 - A1X1X2,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-5 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C12-19 Part 3 - A1X1X2,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-5 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C12-19 Part 3 - A1X1X2,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-6 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C-20-25 Part 4 - A1X1X3,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-6 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C-20-25 Part 4 - A1X1X3,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-6 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C-20-25 Part 4 - A1X1X3,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-7 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C-26-31 Part 5 - A1X1X4,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-7 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C-26-31 Part 5 - A1X1X4,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-7 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C-26-31 Part 5 - A1X1X4,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-8 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C-32-37 Part 6 - A1X1X5,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-8 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C-32-37 Part 6 - A1X1X5,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-8 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C-32-37 Part 6 - A1X1X5,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-9 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C38-45 Part 7 - A1X1X6,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-9 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C38-45 Part 7 - A1X1X6,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-9 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C38-45 Part 7 - A1X1X6,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-10 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C46-52 Part 8 - A1X1X7,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-10 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C46-52 Part 8 - A1X1X7,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-10 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C46-52 Part 8 - A1X1X7,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-11 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C53-58 Part 9 - A1X1X8,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-11 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C53-58 Part 9 - A1X1X8,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-11 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C53-58 Part 9 - A1X1X8,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-12 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C59-63 Part 10 - A1X1X9,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-12 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C59-63 Part 10 - A1X1X9,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-12 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C59-63 Part 10 - A1X1X9,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-13 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C64-69 Part 11 - A1X1Y0,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-13 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C64-69 Part 11 - A1X1Y0,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-13 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C64-69 Part 11 - A1X1Y0,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-14 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C70-75 Part 12 - A1X1Y1,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-14 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C70-75 Part 12 - A1X1Y1,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-14 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C70-75 Part 12 - A1X1Y1,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-15 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C76-81 Part 13 - A1X1Y2,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-15 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C76-81 Part 13 - A1X1Y2,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-15 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C76-81 Part 13 - A1X1Y2,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-16 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C82-86 Part 14 - A1X1Y3,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-16 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C82-86 Part 14 - A1X1Y3,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-16 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C82-86 Part 14 - A1X1Y3,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-17 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C87-90 Part 15 - A1X1Y4,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Land
B3-17 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C87-90 Part 15 - A1X1Y4,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Water
B3-17 - Appendix C Soil_Vegetation and Wetlands Baseline Figures C87-90 Part 15 - A1X1Y4,"Appendix C: Soil, Vegetation and Wetlands Baseline Figures",Vegetation
B3-18 - Appendix D 2010 Soil Survey of Bakken Pipeline - A1X1Y5,Appendix D: 2010 Soil Survey of the Bakken Pipeline,Land
B3-18 - Appendix D 2010 Soil Survey of Bakken Pipeline - A1X1Y5,Appendix D: 2010 Soil Survey of the Bakken Pipeline,Vegetation
B3-19 - Appendix E Vegetation Data Summary Tables - A1X1Y6,Appendix E: Vegetation Data Summary Tables,Vegetation
B3-20 - Appendix F Descriptions of Watercourse Crossing Locations - A1X1Y7,Appendix F: Description of the Watercource Crossing Locations,Water
B3-22 - Appendix H Wetland Data Summary Tables - A1X1Y9,Appendix H: Wetland Dat Data the Watercource Tables,Land
B3-22 - Appendix H Wetland Data Summary Tables - A1X1Y9,Appendix H: Wetland Dat Data the Watercource Tables,Water
B3-23 - Appendix I Detailed Wildlife Baseline Surveys Methods and Results Part 1 - A1X1Z0,Appendix I: Detailed Wildlife the Watercource Surveys Methods and Results,Water
B3-23 - Appendix I Detailed Wildlife Baseline Surveys Methods and Results Part 1 - A1X1Z0,Appendix I: Detailed Wildlife the Watercource Surveys Methods and Results,Wildlife
B3-24 - Appendix I  Detailed Wildlife Baseline Surveys Methods and Results Part 2 - A1X1Z1,Appendix I: Detailed Wildlife the Watercource Surveys Methods and Results,Water
B3-24 - Appendix I  Detailed Wildlife Baseline Surveys Methods and Results Part 2 - A1X1Z1,Appendix I: Detailed Wildlife the Watercource Surveys Methods and Results,Wildlife
B3-25 - Appendix J Restricted Activity Periods for Wildlife Occurring or Potentially Occurring in Local Study Area - A1X1Z2,Appendix J: Restricted  Activity the Watercource for Wildlife Occurring or Potentially Occurring in Local Study Area,Water
B3-25 - Appendix J Restricted Activity Periods for Wildlife Occurring or Potentially Occurring in Local Study Area - A1X1Z2,Appendix J: Restricted  Activity the Watercource for Wildlife Occurring or Potentially Occurring in Local Study Area,Wildlife
B3-26 - Appendix K Wildlife_Wildlife Habitat_Vegetation Species At Risk Summary - A1X1Z3,Appendix K: Wildlife and Wildlife Habitat Habitat and Vegetation - Species At Risk Summary,Wildlife
B3-26 - Appendix K Wildlife_Wildlife Habitat_Vegetation Species At Risk Summary - A1X1Z3,Appendix K: Wildlife and Wildlife Habitat Habitat and Vegetation - Species At Risk Summary,Vegetation
B3-27 - Appendix L Assessment of Greenhouse Gas Emissions from Construction of Bakken Pipeline - A1X1Z4,Appendix L: Assessment  of the Watercource Gas Emissions from Construction of Bakken Pipeline,Air
